ID;LIMIT_BAL;SEX;EDUCATION;MARRIAGE;AGE;PAY_0;PAY_2;PAY_3;PAY_4;PAY_5;PAY_6;BILL_AMT1;BILL_AMT2;BILL_AMT3;BILL_AMT4;BILL_AMT5;BILL_AMT6;PAY_AMT1;PAY_AMT2;PAY_AMT3;PAY_AMT4;PAY_AMT5;PAY_AMT6;default payment next month
24038;340000;1;1;2;26;0;0;;0;0;0;241720;221836;206485;196137;196447;195114;8000;10000;10000;8032;8000;8500;
24039;70000;1;3;2;27;2;2;2;3;3;2;58009;56479;63633;64500;62867;64210;0;8100;2500;0;2500;2455;
24040;50000;1;1;2;27;2;2;0;0;0;0;51042;48878;47884;29506;3672;8346;0;2354;1410;1500;4900;700;
24041;60000;1;1;2;26;-1;-1;0;0;0;0;1870;32603;32432;27976;25862;24571;32607;2119;3008;1006;1042;1001;
24042;20000;1;3;2;27;3;2;2;5;5;4;1200;1200;1200;1200;1200;600;0;0;0;0;0;0;
24043;50000;1;1;2;27;0;0;0;2;2;0;35215;36227;37876;39984;39041;40110;1600;2234;3042;0;1700;2000;
24044;240000;1;1;2;26;-1;-1;-2;-1;-1;-1;5010;1188;3513;11380;1777;190;1188;3513;11794;1785;190;0;
24045;20000;1;2;2;23;0;0;0;0;0;0;9550;10867;;12899;13087;13327;1480;1198;1512;700;600;2700;
24047;130000;1;2;2;25;0;0;0;0;0;0;39074;39767;38680;5654;1938;522;1766;1521;3100;0;10;0;
24048;50000;1;2;2;25;0;0;0;0;0;0;49899;35200;29447;19980;10400;0;1679;2438;1700;1000;0;0;
24049;130000;1;2;2;27;-1;-1;-1;-1;-1;-1;6136;9258;3397;2435;1570;1467;9272;3397;2435;1570;1467;550;
24050;20000;1;1;2;27;0;0;0;0;0;0;19483;18956;18742;19738;15627;15753;1258;1404;1400;399;604;2500;
24051;370000;1;6;1;28;0;-1;-1;-1;-1;-1;64268;2868;3788;9424;2468;2468;2868;100332;9456;2468;2468;2468;
